Hoover,Garrison,Glen_Canyon,Oahe,Fort_Peck,Grand_Coulee,Kentucky,Sam_Rayburn,Wolf_Creek,Libby_Dam,Bull_Shoals,Harry_S_Trauman,Denison,Toledo_Bend,Shasta,Flaming_Gorge,Eufaula_Lake,J_Storm_Thurmond,Blakely_Mountain,Oroville,Table_Rock,Hartwell,John_H_Kerr,Norris,New_Melones
168.7022068,409.6231153,213.6816832,438.2807944,120,3939.374957,988.2708918,8.919792,109.3940966,135.8440286,87.52756445,106.6618642,62.59212,121.5063048,144.4642031,43.2973806,6.9659328,119.75,9.901495134,62.35412981,50.2,63.6444509,177.9804671,52.49319918,15.60068759
199.5972068,386.3731153,236.6986832,462.7022944,120,3998.918957,939.7108918,8.2685056,115.6880966,114.5440286,93.19306445,103.0190642,68.32272,121.5063048,147.0442031,46.9738806,6.37128,124.7,6.689995134,65.95412981,50.2,61.4064509,146.6904671,55.09119918,12.93248759
232.7472068,381.3061153,261.9706832,466.5977944,133.5925888,4010.245957,884.8078918,7.8720704,121.9820966,135.8440286,98.85856445,109.0880642,62.59212,121.5063048,149.6242031,43.2973806,6.37128,119.75,9.901495134,69.55412981,50.2,63.6444509,129.8984671,55.67235758,10.26428759
199.5972068,404.5561153,236.6986832,442.1762944,133.5925888,4085.245957,939.7108918,7.7304864,118.2340966,116.0220286,104.5240645,111.4289938,56.86152,121.5063048,152.2042031,39.6208806,6.654448,124.7,6.689995134,73.15412981,50.2,65.8824509,169.2935671,53.07435758,8.898662527
232.7472068,427.8061153,261.9706832,466.5977944,120,4160.245957,994.6138918,7.4756352,123.5860966,137.3220286,98.85856445,105.3599938,62.59212,121.5063048,154.7842031,35.9443806,6.2013792,129.65,3.478495134,76.75412981,50.2,68.1204509,182.0014671,50.47635758,11.56686253
242.4242068,409.6231153,279.5256832,491.0192944,133.5925888,4143.334957,1049.516892,7.2491008,117.2920966,152.8340286,104.5240645,99.29099383,68.32272,121.5063048,157.3642031,37.63426377,6.37128,134.6,1.25,80.35412981,50.2,70.3584509,221.3965671,47.87835758,14.23506253
209.2742068,409.6231153,254.2536832,515.4407944,133.5925888,4174.482957,1104.419892,7.0508832,110.9980966,131.5340286,110.1895645,105.3599938,74.05332,121.5063048,159.9442031,37.08293178,6.37128,139.55,4.4615,83.95412981,50.2,68.1204509,196.8964671,45.28035758,16.90326253
242.4242068,432.8731153,279.5256832,539.8622944,133.5925888,4249.482957,1159.322892,7.1358336,107.3600966,110.2340286,104.5240645,99.29099383,79.78392,121.5063048,162.5242031,37.9256457,7.7304864,144.5,1.25,87.55412981,50.2,69.1444509,177.3294671,42.68235758,19.57146253
209.2742068,437.9401153,254.2536832,564.2837944,151.6525888,4282.086957,1104.419892,8.4100896,101.0660966,127.3490286,98.85856445,93.22199383,82.8175184,121.5063048,165.1042031,34.2491457,9.3728608,139.55,4.4615,91.15412981,50.2,66.9064509,137.9343671,40.08435758,22.23966253
235.0292068,437.9401153,272.1306832,579.8657944,161.9095888,4207.086957,1049.516892,8.353456,107.3600966,106.0490286,96.64343405,89.04490343,77.0869184,121.5063048,167.6842031,37.9256457,12.7708768,134.6,7.673,94.75412981,50.2,69.1444509,147.0584671,37.48635758,19.57146253
201.8792068,461.1901153,246.8586832,604.2872944,143.8495888,4132.086957,994.6138918,8.070288,113.6540966,99.03202864,90.97793405,82.97590343,71.3563184,121.5063048,170.2642031,34.2491457,12.03464,139.55,10.8845,98.35412981,50.2,66.9064509,186.4535671,40.08435758,22.23966253
168.7292068,437.9401153,236.838623,628.7087944,161.9095888,4057.086957,939.7108918,7.837996326,119.9480966,105.3880749,91.85789485,77.94196717,77.0869184,121.5063048,172.8442031,30.5726457,16.16714,144.5,7.673,101.9541298,50.2,69.1444509,225.8486671,42.68235758,24.90786253
201.8792068,461.1901153,262.110623,653.1302944,161.9095888,3982.086957,959.2677247,8.1552384,126.2420966,90,86.19239485,78.49659361,82.8175184,126.8508048,175.4242031,26.8961457,20.29964,149.45,4.4615,105.5541298,50.2,66.9064509,265.2437671,45.28035758,22.23966253
168.7292068,484.4401153,267.363863,636.4987944,143.8495888,3907.086957,930.8312197,8.8914752,132.5360966,111.3,91.85789485,84.56559361,81.75522103,129.2676308,178,25.65,20.6847557,154.4,6.415977634,109.1541298,50.2,64.6684509,304.6388671,47.87835758,19.57146253
169.0062068,494.5741153,289.251983,660.9202944,133.5925888,3832.086957,985.7342197,9.6560288,138.8300966,132.6,97.52125485,89.48383201,81.48160403,129.2676308,178,29.3265,19.0140645,159.35,9.627477634,112.7541298,50.2,62.4304509,280.8434638,45.28035758,16.90326253
144.8362068,494.5741153,265.124103,685.3417944,120,3757.086957,930.8312197,9.91088,132.5360966,153.9,91.85575485,83.41483201,80.92481903,129.2676308,178,25.65,17.8247589,154.4,12.83897763,116.3541298,50.2,60.1924509,320.2385638,42.68235758,19.57146253
177.9862068,471.3241153,290.396103,664.8157944,133.5925888,3682.086957,875.9282197,9.91088,138.8300966,132.6,97.52125485,87.26066321,75.19421903,129.2676308,178,29.3265,18.1079269,149.45,16.05047763,119.9541298,50.2,57.9544509,300.9871468,40.08435758,16.90326253
165.1102068,466.2571153,285.482343,689.2372944,151.6525888,3607.086957,821.0252197,9.8542464,132.5360966,153.9,103.1867549,93.32966321,69.46361903,129.2676308,178,25.65,18.4194117,144.5,12.83897763,123.5541298,50.2,55.7164509,261.5920468,38.67917479,14.23506253
131.9602068,489.5071153,260.210343,664.8157944,161.9095888,3619.085985,766.1222197,9.9391968,126.2420966,167.9335749,97.52125485,87.26066321,75.19421903,129.2676308,178,25.65,17.9663429,149.45,16.05047763,127.1541298,50.2,53.4784509,252.5758298,36.74930239,15.53365743
146.0642068,494.5741153,266.520583,689.2372944,179.9695888,3544.085985,711.2192197,10.1090976,119.9480966,146.6335749,91.85575485,81.19166321,80.39668703,129.2676308,178,25.65,18.1079269,144.5,19.26197763,130.7541298,50.2,51.2404509,258.6541713,34.59289559,12.86545743
168.2062068,517.8241153,288.704703,713.6587944,190.2265888,3469.085985,656.3162197,9.6560288,113.6540966,167.9335749,86.19025485,75.12266321,80.68940603,129.2676308,178,26.42429151,17.6548581,139.55,16.05047763,134.3541298,50.2,49.0024509,259.0705128,34.53193199,15.53365743
145.3372068,494.5741153,265.877823,721.4497944,208.2865888,3404.252985,601.4132197,9.20296,107.3600966,146.6335749,80.52475485,69.05366321,80.69895703,129.2676308,178,30.10079151,17.5132741,144.5,17.13315763,137.9541298,50.2,46.7644509,258.6648543,37.12993199,16.77959868
178.4872068,471.3241153,291.149823,697.0282944,190.2265888,3463.843985,569.9,8.8065248,113.6540966,142.5905749,74.85925485,62.98466321,79.85900403,129.2676308,178,26.42429151,18.2778277,139.55,20.34465763,140,50.2,46.6,277.4581958,39.72793199,19.44779868
207.8732068,494.5741153,316.421823,693.1327944,190.2265888,3388.843985,569.9,8.5233568,119.9480966,163.8905749,69.19375485,56.91566321,74.12840403,129.2676308,178,25.65,17.9663429,134.6,17.13315763,140,50.2,48.838,303.2175373,42.32593199,16.77959868
174.7232068,471.3241153,291.149823,668.7112944,190.2265888,3347.994985,624.803,8.4100896,126.2420966,185.1905749,63.52825485,50.84666321,68.39780403,129.2676308,178,25.65,18.2778277,129.65,13.92165763,140,50.2,51.076,277.1848788,44.92393199,14.11139868
